# Id_interactions,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,label
11949,404897,19,23,0,15,7,0,11,0,13,1
11950,423518,11,26,0,16,10,0,11,0,13,1
11951,432827,19,23,0,15,7,0,11,0,13,1
11952,451448,11,26,0,16,10,0,11,0,13,1
11953,456166,0,3,0,0,9,0,8,0,4,1
11954,470094,2,38,0,0,9,0,8,0,4,1
11980,465470,0,8,0,0,9,0,9,0,4,1
11981,442137,19,23,0,15,7,0,11,0,13,1
11982,442134,21,23,0,16,7,0,11,0,13,1
11983,460784,2,43,0,0,8,0,7,0,1,1
11984,404955,0,17,0,0,4,0,8,0,1,1
11985,451475,2,44,0,0,6,0,7,0,1,1
11986,404957,0,15,0,0,4,0,8,0,1,1
11987,409617,0,10,0,0,4,0,8,0,1,1
11988,428172,19,23,0,15,7,0,11,0,13,1
11989,465480,0,7,0,0,4,0,8,0,1,1
11990,446794,17,23,0,15,7,0,11,0,13,1
11991,446855,0,9,0,0,8,0,7,0,1,1
11992,418857,23,23,0,16,7,0,11,0,13,1
11993,437484,17,23,0,15,7,0,11,0,13,1
11994,446793,11,26,0,16,10,0,11,0,13,1
11995,409556,16,21,0,16,7,0,11,0,13,1
11997,302493,14,21,0,16,7,0,11,0,13,1
11998,423511,24,23,0,16,7,0,11,0,13,1
11999,409546,24,24,0,15,7,0,11,0,13,1
12000,428172,19,23,0,15,7,0,11,0,13,1
12001,479435,0,8,0,0,9,0,9,0,4,1
12002,395591,16,21,0,16,7,0,11,0,13,1
12003,437449,52,23,0,15,7,0,11,0,13,1
12004,339731,16,21,0,16,7,0,11,0,13,1
12005,465413,11,26,0,16,10,0,11,0,13,1
12016,414201,24,23,0,16,7,0,11,0,13,1
12017,404901,16,21,0,16,7,0,11,0,13,1
12018,442164,2,38,0,0,9,0,8,0,4,1
12019,414201,24,23,0,16,7,0,11,0,13,1
12020,470125,0,8,0,0,9,0,9,0,4,1
12021,390990,0,17,0,0,4,0,8,0,1,1
12022,474780,0,8,0,0,9,0,9,0,4,1
12023,400300,0,17,0,0,4,0,8,0,1,1
12024,479435,0,8,0,0,9,0,9,0,4,1
12025,446793,11,26,0,16,10,0,11,0,13,1
12026,404957,0,15,0,0,4,0,8,0,1,1
12027,446818,2,46,0,0,6,0,7,0,1,1
12028,395582,23,23,0,16,7,0,11,0,13,1
12029,372316,16,21,0,16,7,0,11,0,13,1
12055,376999,17,0,0,0,37,0,0,0,2,1
12056,358406,13,0,0,0,14,0,0,0,2,1
12057,363042,21,0,0,0,25,0,0,0,2,1
12058,367704,17,0,0,0,22,0,0,0,2,1
12059,381668,17,0,0,0,23,0,0,0,2,1
12060,363048,17,0,0,0,23,0,0,0,2,1
12061,358387,21,0,0,0,25,0,0,0,2,1
12250,456118,49,0,15,1,0,2,0,0,5,1
12251,656290,2,60,0,2,0,0,0,0,1,1
12252,465413,49,0,27,1,0,5,0,0,5,1
12253,679565,2,60,0,2,0,0,0,0,1,1
12254,451509,0,18,0,0,4,0,3,0,1,1
12255,684220,2,60,0,2,0,0,0,0,1,1
12256,423569,2,26,0,0,4,0,3,0,1,1
12257,688875,2,60,0,2,0,0,0,0,1,1
12258,642324,52,0,0,10,0,0,0,0,4,1
12320,363061,0,0,0,0,27,0,0,0,2,1
12662,390922,30,21,0,16,7,0,11,0,13,1
13117,437498,49,0,15,1,0,2,0,0,5,1
13118,460817,0,20,0,0,4,0,3,0,1,1
13120,451509,0,18,0,0,4,0,3,0,1,1
13121,456118,49,0,15,1,0,2,0,0,5,1
13163,311832,2,0,48,0,0,2,0,0,1,1
13166,446861,0,2,0,0,15,0,0,0,2,1
13167,628372,1,38,0,0,11,0,2,0,1,1
13190,321173,4,0,0,0,16,0,0,0,2,1
13260,307185,0,2,0,0,41,0,0,0,2,1
13571,297907,3,0,0,0,8,0,0,0,2,1
13668,1200925,55,0,7,0,0,1,0,0,2,1
13760,432877,2,28,0,0,4,0,3,0,1,1
14273,442141,51,0,23,1,0,4,0,0,5,1
14325,437544,0,18,0,0,4,0,3,0,1,1
14764,511999,18,12,0,11,0,8,0,0,2,1
14930,479384,49,0,24,1,0,2,0,0,5,1
15167,1042655,55,0,7,0,0,1,0,0,2,1
15462,470091,4,0,51,0,0,7,0,0,2,1
15560,684220,2,60,0,2,0,0,0,0,1,1
15590,660945,2,60,0,2,0,0,0,0,1,1
15632,423577,0,20,0,0,4,0,3,0,1,1
15790,1098515,55,0,7,0,0,1,0,0,2,1
15791,702840,2,60,0,2,0,0,0,0,1,1
16271,428235,4,2,0,0,17,0,0,0,2,1
16272,442204,1,2,0,0,14,0,0,0,4,1
16306,451463,49,0,15,1,0,2,0,0,5,1
16326,442157,6,0,53,0,0,7,0,0,2,1
16361,1163658,19,0,56,0,0,15,0,0,2,1
16362,460774,51,0,13,1,0,1,0,0,5,1
16363,488715,2,0,49,0,0,7,0,0,2,1
16405,400306,0,16,0,0,4,0,3,0,1,1
16426,493366,0,0,55,0,0,7,0,0,2,1
16427,367620,2,2,0,0,117,0,0,0,4,1
16428,456118,49,0,15,1,0,2,0,0,5,1
16470,451507,0,20,0,0,4,0,3,0,1,1
16497,311862,0,21,0,0,0,0,0,0,2,1
16498,423577,0,20,0,0,4,0,3,0,1,1
16531,442163,2,0,51,0,0,7,0,0,2,1
16532,484039,49,0,24,1,0,2,0,0,5,1
16533,651635,2,60,0,2,0,0,0,0,1,1
16716,595812,9,0,15,0,0,3,0,0,1,1
16717,1140311,38,0,84,22,0,18,0,0,2,1
16718,423579,0,18,0,0,4,0,3,0,1,1
16800,302552,0,21,0,0,0,0,0,0,2,1
16872,465479,1,2,0,0,14,0,0,0,4,1
16873,470097,0,0,49,0,0,7,0,0,2,1
16874,605122,9,0,15,0,0,3,0,0,1,1
16875,498021,4,0,51,0,0,7,0,0,2,1
