# Id_interactions,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,label
11949,404897,0,0,17,2,0,0,23,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11950,423518,0,0,9,2,0,0,26,0,0,0,16,0,0,0,10,0,0,0,11,0,0,0,0,0,0,13,1
11951,432827,0,0,17,2,0,0,23,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11952,451448,0,0,9,2,0,0,26,0,0,0,16,0,0,0,10,0,0,0,11,0,0,0,0,0,0,13,1
11953,456143,23,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,4,1
11954,470062,32,0,2,0,0,35,3,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,4,1
11980,465438,32,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,4,1
11981,442137,0,0,17,2,0,0,23,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11982,442134,0,0,19,2,0,0,23,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11983,460752,32,0,2,0,0,40,3,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,1,1
11984,404923,32,0,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,1,1
11985,451452,23,0,2,0,0,41,3,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,1,1
11986,404925,32,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,1,1
11987,409585,32,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,1,1
11988,428172,0,0,17,2,0,0,23,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11989,465456,24,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,1,1
11990,446794,0,0,15,2,0,0,23,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11991,446831,24,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,1,1
11992,418857,0,0,21,2,0,0,23,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11993,437484,0,0,15,2,0,0,23,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11994,446793,0,0,9,2,0,0,26,0,0,0,16,0,0,0,10,0,0,0,11,0,0,0,0,0,0,13,1
11995,409556,0,0,14,2,0,0,21,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11997,302493,0,0,12,2,0,0,21,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11998,423511,0,0,22,2,0,0,23,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
11999,409546,0,0,22,2,0,0,24,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
12000,428172,0,0,17,2,0,0,23,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
12001,479403,32,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,4,1
12002,395591,0,0,14,2,0,0,21,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
12003,437447,0,2,47,5,0,0,23,0,0,0,15,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
12004,339731,0,0,14,2,0,0,21,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
12005,465413,0,0,9,2,0,0,26,0,0,0,16,0,0,0,10,0,0,0,11,0,0,0,0,0,0,13,1
12016,414201,0,0,22,2,0,0,23,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
12017,404901,0,0,14,2,0,0,21,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
12018,442132,32,0,2,0,0,35,3,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,4,1
12019,414201,0,0,22,2,0,0,23,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
12020,470093,32,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,4,1
12021,390958,32,0,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,1,1
12022,474748,32,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,4,1
12023,400268,32,0,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,1,1
12024,479403,32,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,4,1
12025,446793,0,0,9,2,0,0,26,0,0,0,16,0,0,0,10,0,0,0,11,0,0,0,0,0,0,13,1
12026,404925,32,0,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,1,1
12027,446786,32,0,2,0,0,43,3,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,1,1
12028,395582,0,0,21,2,0,0,23,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
12029,372316,0,0,14,2,0,0,21,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
12055,376943,56,0,15,2,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,2,1
12056,358338,68,0,13,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2,1
12057,362986,56,0,17,4,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,2,1
12058,367648,56,0,15,2,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,1
12059,381612,56,0,15,2,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,2,1
12060,362992,56,0,15,2,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,2,1
12061,358331,56,0,17,4,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,2,1
12250,455725,253,140,35,8,6,0,0,0,13,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1
12251,656195,86,9,2,0,56,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
12252,464998,275,140,35,8,6,0,0,0,25,2,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,5,1
12253,679470,86,9,2,0,56,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
12254,451485,24,0,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,1
12255,684125,86,9,2,0,56,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
12256,423547,20,2,2,0,0,26,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,1
12257,688780,86,9,2,0,56,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
12258,642130,194,43,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
12320,363049,12,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,2,1
12662,390922,0,0,28,2,0,0,21,0,0,0,16,0,0,0,7,0,0,0,11,0,0,0,0,0,0,13,1
13117,437105,253,140,35,8,6,0,0,0,13,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1
13118,460789,26,2,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,1
13120,451490,17,2,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,1
13121,455725,253,140,35,8,6,0,0,0,13,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1
13163,311832,0,0,0,2,0,0,0,45,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
13166,446848,13,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,1
13167,628355,16,1,1,0,0,38,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,1,1
13190,321173,0,0,2,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,1
13260,307180,5,0,0,0,0,0,2,0,0,0,0,0,38,0,3,0,0,0,0,0,0,0,0,0,0,2,1
13571,297898,9,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,1
13668,1200858,67,0,0,55,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
13760,432846,29,2,2,0,0,28,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,1
14273,441705,300,136,35,10,6,0,0,0,21,2,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,5,1
14325,437520,24,0,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,1
14764,511722,156,121,18,0,9,3,0,0,0,9,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,2,1
14930,478981,260,143,35,8,6,0,0,0,20,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1
15167,1042588,67,0,0,55,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
15462,470070,19,2,2,2,0,0,0,0,51,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,1
15560,684125,86,9,2,0,56,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15590,660850,86,9,2,0,56,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15632,423549,26,2,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,1
15790,1098460,55,0,0,55,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
15791,702745,86,9,2,0,56,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
16271,428222,13,0,2,2,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2,1
16272,442165,39,0,1,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,1
16306,451070,253,140,35,8,6,0,0,0,13,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1
16326,442132,21,4,4,2,0,0,0,0,53,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,1
16361,1163539,97,22,14,0,5,0,0,0,56,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,1
16362,460416,229,129,35,10,6,0,0,0,11,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1
16363,488684,31,0,0,2,0,0,0,0,49,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,1
16405,400291,15,0,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,1
16426,493348,18,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,1
16427,367430,190,0,2,0,0,2,0,0,0,0,0,0,81,0,36,0,0,0,0,0,0,0,0,0,0,4,1
16428,455725,253,140,35,8,6,0,0,0,13,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1
16470,451479,26,2,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,1
16497,311862,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
16498,423549,26,2,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,1
16531,442153,8,2,2,0,0,0,0,0,51,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,1
16532,483636,260,143,35,8,6,0,0,0,20,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1
16533,651540,86,9,2,0,56,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
16716,595600,139,73,0,9,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1
16717,1139884,301,126,27,6,5,0,0,0,84,0,22,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2,1
16718,423555,24,0,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,1
16800,302552,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
16872,465440,39,0,1,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,1
16873,470091,6,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,1
16874,604910,139,73,0,9,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1
16875,497998,21,2,2,2,0,0,0,0,51,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,1
16881,418900,24,0,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,1
16923,493381,13,0,2,2,0,2,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2,1
16987,488685,20,2,2,0,0,0,0,0,57,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,1
16999,432859,26,2,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,1
17002,474326,260,143,35,8,6,0,0,0,20,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,5,1
17049,488733,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,2,1
17050,311862,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
17091,646891,82,9,2,0,54,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
17092,414239,26,2,0,0,0,20,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,1,1
17099,330457,5,0,0,0,0,0,2,0,0,0,0,0,36,0,3,0,0,0,0,0,0,0,0,0,0,2,1
17100,604915,135,73,0,9,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1
17180,437447,2,2,55,5,0,0,21,0,0,0,8,0,0,0,6,0,0,0,11,0,0,0,0,0,0,13,1
